##*************************************
#Arabic Stop word list for morphology analysis and information retrival
#Version        : 0.9
#Generated at   : 2023/02/02:08:54 
#Author         : Taha Zerrouki
#Web            : http://arabicstopwords.sf.net
#Source         : http://github.com/linuxscout/arabicstopwords
#*************************************
word	vocalized	type_word	class_word	has_conjuction	has_definition	has_preposition	has_pronoun	has_interrog	has_conjugation	has_qasam	is_defined	is_inflected	tanwin	action	object_type	need
أن	أَنَّ	حرف	إن و أخواتها	1	0	1	1	0	0	0	0	0	0	ناصب	اسم	
إن	إِنَّ	حرف	إن و أخواتها	1	0	0	1	1	0	1	0	0	0	ناصب	اسم	
عل	عَلًّ	حرف	إن و أخواتها	1	0	0	0	0	0	0	0	0	0	ناصب	اسم	
كأن	كَأَنَّ	حرف	إن و أخواتها	1	0	0	1	1	0	1	0	0	0	ناصب	اسم	
لعل	لَعَلَّ	حرف	إن و أخواتها	1	0	0	1	1	0	0	0	0	0	ناصب	اسم	
لكن	لَكِنَّ	حرف	إن و أخواتها	1	0	0	1	0	0	0	0	0	0	ناصب	اسم	
ليت	لَيْتَ	حرف	إن و أخواتها	1	0	0	1	0	0	0	0	0	0	ناصب	اسم	
ثنا	ثَنَا	فعل	اختصار	1	0	0	0	0	0	0	0	0	0			
بيد	بَيْدَ	اسم	استثناء	1	0	0	0	0	0	0	0	0	0			
سوى	سِوَى	اسم	استثناء	1	0	0	0	0	0	0	0	0	0			
غير	غَيْرَ	اسم	استثناء	1	0	1	1	1	0	1	0	1	0	جار	اسم	
لاسيما	لاسِيَّمَا	حرف	استثناء	1	0	0	0	0	0	0	0	0	0			
أولئك	أُولَئِكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
أولئكم	أُولَئِكُمْ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
أولاء	أُولَاءِ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
أولالك	أُولَالِكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
تان	تَانِ	اسم	اسم إشارة	1	0	0	0	0	0	0	0	0	0			
تانك	تَانِكَ	اسم	اسم إشارة	1	0	1	0	0	0	0	0	0	0			
تلك	تِلْكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
تلكم	تِلْكُمْ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
تلكما	تِلْكُمَا	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ته	تِهِ	اسم	اسم إشارة	1	0	1	0	0	0	0	0	0	0			
تي	تِي	اسم	اسم إشارة	1	0	1	0	0	0	0	0	0	0			
تين	تَيْنِ	اسم	اسم إشارة	1	0	1	0	0	0	0	0	0	0			
تينك	تَيْنِكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ثم	ثَمَّ	اسم	اسم إشارة	1	0	0	0	1	0	0	0	0	0			
ثمة	ثَمَّةَ	اسم	اسم إشارة	1	0	0	0	1	0	0	0	0	0			
ذا	ذَا	اسم	اسم إشارة	1	0	1	0	0	0	0	0	0	0			
ذاك	ذَاكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذان	ذَانِ	اسم	اسم إشارة	1	0	0	0	0	0	0	0	0	0			
ذانك	ذَانِكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذلك	ذَلِكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذلكم	ذَلِكُمْ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذلكما	ذَلَكُمَا	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذلكن	ذَلِكُنَّ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذه	ذِهِ	اسم	اسم إشارة	1	0	1	0	0	0	0	0	0	0			
ذوا	ذَوَا	اسم	اسم إشارة	1	0	0	0	0	0	0	0	0	0			
ذواتا	ذَوَاتَا	اسم	اسم إشارة	1	0	0	0	1	0	0	0	0	0			
ذواتي	ذَوَاتَيْ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذوو	ذَوُو	اسم	اسم إشارة	1	0	0	1	0	0	0	0	0	0	جار		
ذوي	ذَوِي	اسم	اسم إشارة	1	0	1	1	0	0	0	0	0	0	جار		
ذي	ذِي	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذين	ذَيْنِ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
ذينك	ذَيْنِكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
كذلك	كَذَلِكَ	اسم	اسم إشارة	1	0	0	0	1	0	0	0	0	0			
هؤلاء	هَؤُلَاءِ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
هاتان	هَاتَانِ	اسم	اسم إشارة	1	0	0	0	1	0	0	0	0	0			
هاته	هَاتِهِ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
هاتي	هَاتِي	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
هاتين	هَاتَيْنِ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
هاهنا	هَاهُنَا	اسم	اسم إشارة	1	0	0	0	1	0	0	0	0	0			
هذا	هَذَا	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
هذان	هَذَانِ	اسم	اسم إشارة	1	0	0	0	1	0	0	0	0	0			
هذه	هَذِهِ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
هذي	هَذِي	اسم	اسم إشارة	1	0	1	0	0	0	0	0	0	0			
هذين	هَذَيْنِ	اسم	اسم إشارة	1	0	1	0	0	0	0	0	0	0			
هكذا	هَكَذَا	اسم	اسم إشارة	1	0	0	0	1	1	0	0	0	0			
هنا	هُنَا	اسم	اسم إشارة	1	0	0	0	1	0	0	0	0	0			
هناك	هُنَاكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
هنالك	هُنَالِكَ	اسم	اسم إشارة	1	0	1	0	1	0	0	0	0	0			
أي	أَيُّ	اسم	اسم إضافة	1	0	1	1	0	0	0	0	1	0	جار	اسم	
إذ	إِذْ	اسم	اسم إضافة	1	0	0	0	0	0	0	0	0	0	جار	اسم	
إذا	إِذَا	اسم	اسم إضافة	1	0	0	0	0	0	0	0	0	0	جار	اسم	
ابن	اِبْنُ	اسم	اسم إضافة	1	0	1	1	0	0	0	0	1	0	جار	اسم	
بعض	بَعْضُ	اسم	اسم إضافة	1	0	1	1	1	0	1	0	1	1	جار	اسم	
تجاه	تُجَاهَ	اسم	اسم إضافة	1	0	0	1	0	0	0	0	0	0	جار	اسم	
تلقاء	تِلْقَاءَ	اسم	اسم إضافة	1	0	1	1	0	0	0	0	0	0	جار	اسم	
جميع	جَمِيعَ	اسم	اسم إضافة	1	0	1	1	1	0	1	0	1	1	جار	اسم	
