##*************************************
#Arabic Stop word list for morphology analysis and information retrival
#Version        : 0.9
#Generated at   : 2023/02/02:08:53 
#Author         : Taha Zerrouki
#Web            : http://arabicstopwords.sf.net
#Source         : http://github.com/linuxscout/arabicstopwords
#*************************************
word	vocalized	type	category	original	procletic	stem	encletic	tags
أن	أَنّ	حرف	إن و أخواتها	أن	-	أن	-	
أنك	أَنّكَ	حرف	إن و أخواتها	أن	-	أن	-ك	مضاف
أنكما	أَنّكُمَا	حرف	إن و أخواتها	أن	-	أن	-كما	مضاف
أنكم	أَنّكُمْ	حرف	إن و أخواتها	أن	-	أن	-كم	مضاف
أنكن	أَنّكُنَّ	حرف	إن و أخواتها	أن	-	أن	-كن	مضاف
أنك	أَنّكِ	حرف	إن و أخواتها	أن	-	أن	-ك	مضاف
أننا	أَنّنَا	حرف	إن و أخواتها	أن	-	أن	-نا	مضاف
أنها	أَنّهَا	حرف	إن و أخواتها	أن	-	أن	-ها	مضاف
أنه	أَنّهُ	حرف	إن و أخواتها	أن	-	أن	-ه	مضاف:لايجر:T
أنهما	أَنّهُمَا	حرف	إن و أخواتها	أن	-	أن	-هما	مضاف:لايجر
أنهم	أَنّهُمْ	حرف	إن و أخواتها	أن	-	أن	-هم	مضاف:لايجر
أنهن	أَنّهُنَّ	حرف	إن و أخواتها	أن	-	أن	-هن	مضاف:لايجر
أني	أَنِّي	حرف	إن و أخواتها	أن	-	أن	-ي	مضاف
بأن	بِأَنّ	حرف	إن و أخواتها	أن	ب-	أن	-	جر
بأنك	بِأَنّكَ	حرف	إن و أخواتها	أن	ب-	أن	-ك	جر:مضاف
بأنكما	بِأَنّكُمَا	حرف	إن و أخواتها	أن	ب-	أن	-كما	جر:مضاف
بأنكم	بِأَنّكُمْ	حرف	إن و أخواتها	أن	ب-	أن	-كم	جر:مضاف
بأنكن	بِأَنّكُنَّ	حرف	إن و أخواتها	أن	ب-	أن	-كن	جر:مضاف
بأنك	بِأَنّكِ	حرف	إن و أخواتها	أن	ب-	أن	-ك	جر:مضاف
